Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
3.827,0.841,0.9266318554959274,5.238,0.94,1.764,0.557,0.324,0.942,5.017,2.694,0.7650176678445231,5.597,5.552,1.9863041269450374
3.669,1.029,0.5883856054459029,5.344,0.952,1.705,0.527,0.32,0.93,5.117,2.516,0.5662544169611312,5.195,5.327,1.9386366685339194
3.589,0.901,0.6245661744811046,5.155,0.832,1.663,0.599,0.389,0.935,4.889,2.518,0.4284452296819792,5.238,5.171,1.8769176170135908
3.789,1.082,0.8239800084658199,4.871,0.903,1.542,0.569,0.233,1.08,4.945,2.385,0.5865724381625448,5.475,5.35,1.9007960372190302
3.556,0.878,0.3813990942212608,5.361,0.904,1.633,0.522,0.22,1.036,5.007,2.231,0.648409893992933,4.949,5.42,1.8648174156845159
3.589,0.939,0.4764782640114421,4.874,0.894,1.79,0.555,0.425,1.069,5.039,2.444,0.8666077738515909,5.062,5.667,1.9134238364885858
3.551,0.955,0.9308388984069972,4.773,0.896,1.597,0.454,0.293,0.901,5.131,2.551,0.6740282685512371,5.602,5.449,1.892238930579853
3.469,0.922,0.9501912957979187,4.797,0.801,1.525,0.553,0.182,0.797,5.052,2.368,0.0,5.625,4.686,1.78468260798316
3.7,0.825,0.8509050830966676,4.753,0.732,1.417,0.454,0.349,0.913,5.063,2.406,0.5883392226148416,5.507,5.352,1.8376036921426258
3.531,1.016,0.739839150244421,5.055,0.743,1.464,0.436,0.355,0.797,5.072,2.489,0.8886925795053013,5.375,5.692,1.8822109774791436
1.361,1.914,-1.205497491834326,2.565,0.183,0.106,0.258,0.167,0.085,0.945,0.951,0.8895759717314489,3.063,5.693,0.6849232066580937
1.39,1.924,-1.3460127250640626,2.423,0.218,0.188,0.111,0.079,0.189,0.922,0.991,0.8436395759717321,2.896,5.641,0.6610522375756391
1.404,1.907,-1.2980524358778651,2.278,0.195,0.072,0.262,0.101,0.281,1.023,0.928,0.3144876325088344,2.953,5.042,0.622286266385914
1.473,1.816,-1.0792862045022273,2.388,0.32,0.378,0.07,-0.002,0.195,0.916,1.039,0.7181978798586579,3.213,5.499,0.685992639613036
1.306,1.687,-1.0616166242757337,2.6,0.27,0.188,0.028,0.073,0.37,0.894,1.044,0.1581272084805656,3.234,4.865,0.6297092153504027
1.553,1.808,-1.1718411485457663,2.679,0.17,0.153,0.271,0.145,0.19,0.918,0.928,0.4734982332155484,3.103,5.222,0.6763880903891485
